# Distance modulii for Carnegie Supernova Project (CSP) and
# Harvard Center for Astrophysics (CfA) type Ia supernovae
# survey = 1 --> CfA
# survey = 2 --> CSP
SN               zcmb     DM       eDM     survey
SN2007jg         0.03658  36.184   0.030   2
SN2007jh         0.04027  36.213   0.065   2
SN2007le         0.00552  32.175   0.031   2
SN2007mm         0.06887  36.963   0.089   2
SN2007nq         0.04390  36.227   0.032   2
SN2007ol         0.05488  37.023   0.075   2
SN2007on         0.00618  31.538   0.040   2
SN2007qe         0.01886  34.988   0.039   1
SN2007so         0.02893  35.378   0.092   2
SN2007sr         0.00666  31.406   0.131   1
SN2007sr         0.00666  31.501   0.123   2
SN2007st         0.02065  34.526   0.136   2
SN2007ux         0.03200  35.653   0.034   2
SN2008C          0.01707  34.249   0.136   2
SN2008L          0.01886  34.206   0.132   1
SN2008O          0.03932  36.142   0.044   2
SN2008R          0.01289  33.733   0.035   2
SN2008af         0.03411  35.709   0.131   1
SN2008ar         0.02725  35.259   0.030   2
SN2008bc         0.01571  33.966   0.023   2
SN2008bd         0.03128  35.306   0.113   2
SN2008bf         0.02508  34.982   0.024   2
SN2008bi         0.01439  34.070   0.194   2
SN2008bq         0.03444  35.822   0.028   2
SN2008bt         0.01658  34.079   0.049   2
SN2008bz         0.06133  37.119   0.099   2
SN2008cc         0.01012  32.968   0.130   2
SN2008cd         0.00846  33.211   0.259   2
SN2008cf         0.04686  36.364   0.102   2
SN2008ff         0.01867  34.207   0.040   2
SN2008fl         0.01942  34.524   0.119   2
SN2008fp         0.00629  31.839   0.039   2
SN2008fr         0.03791  35.949   0.110   2
SN2008fu         0.05183  36.757   0.117   2
SN2008fw         0.00951  33.008   0.127   2
SN2008gg         0.03107  35.529   0.111   2
SN2008gl         0.03295  35.725   0.024   2
SN2008go         0.06131  37.020   0.030   2
SN2008gp         0.03282  35.544   0.028   2
SN2008hj         0.03672  35.904   0.025   2
SN2008hu         0.05056  36.742   0.046   2
SN2008hv         0.01358  33.822   0.028   2
SN2008ia         0.02254  34.960   0.029   2
SN2009D          0.02465  35.047   0.030   2
SN2009F          0.01291  34.027   0.076   2
SN2009I          0.02543  35.574   0.062   2
SN2009P          0.02632  35.202   0.058   2
SN2009Y          0.01010  32.842   0.035   2
SN2009aa         0.02848  35.314   0.029   2
SN2009ab         0.01086  33.595   0.027   2
SN2009ad         0.02832  35.234   0.028   2
SN2009ag         0.00925  33.226   0.036   2
SN2009al         0.02328  35.058   0.064   2
SN2009cz         0.02198  34.891   0.035   2
SN2009ds         0.02047  34.454   0.034   2
SN2009le         0.01703  34.232   0.030   2
