id ra dec z_peak lmass SFR_tot
16764 149.99316 1.633383 2.1759 10.27 49.457
16786 150.05202 1.6332052 1.8909 10.08 24.878
16806 150.12794 1.6338403 1.9178 10.87 0.985
16851 150.12541 1.6343811 1.9452 10.92 5.079
16862 150.06689 1.6350791 2.142 10.04 7.873
16876 150.23428 1.6353585 1.805 10.33 0.529
16911 150.24625 1.6356587 1.8136 10.19 1.643
16995 150.31149 1.6358345 1.8048 10.99 13.299
17101 150.34535 1.6374519 2.0093 10.92 253.173
17135 149.93602 1.6387062 2.0951 10.23 36.546
17184 150.34972 1.6394168 1.8979 10.41 34.497
17337 150.23938 1.6402053 1.8446 10.92 6.959
17436 150.02112 1.6427565 2.0726 10.31 44.435
17449 150.03989 1.6423516 2.1487 10.95 63.354
17721 150.1987 1.6457002 1.8069 10.26 16.261
17816 150.26831 1.647247 1.8476 10.63 1.528
17828 150.26923 1.6474649 1.9491 10.74 9.334
17844 149.95383 1.6480432 2.1726 10.1 6.701
17944 150.22337 1.6490575 1.8614 10.33 26.194
18018 150.21513 1.6505008 1.9229 10.73 63.849
18080 150.03865 1.6511786 1.8519 10.32 27.906
18086 150.3306 1.6509447 1.9519 10.83 31.944
18217 150.22551 1.653052 2.1883 10.08 12.918
18272 150.19063 1.6540591 1.9278 10.63 2.765
18282 150.03731 1.6539028 1.9482 10.67 1.181
18287 150.32462 1.6525255 1.8842 10.11 44.367
18337 150.17213 1.6551366 2.161 10.09 30.218
18463 149.95267 1.6542085 2.0024 10.78 55.996
18476 150.05775 1.6571258 1.856 10.11 9.46
18502 150.06772 1.656764 2.0379 10.91 121.414
18658 150.06287 1.659113 1.9997 10.45 0.814
18686 150.25542 1.6597699 2.0179 10.33 48.7
18702 150.3196 1.6599708 2.046 10.6 18.348
18754 150.16907 1.6607178 2.189 10.42 45.166
18855 150.3082 1.6620755 2.1404 10.32 41.32
18888 150.14354 1.6603916 2.1792 10.21 7.949
18900 149.99847 1.6630837 1.869 10.31 48.952
18973 150.30904 1.6638734 2.1248 10.25 0.716
19109 150.32712 1.6654065 2.0502 10.28 11.498
19166 149.92297 1.6650296 1.8517 10.75 207.472
19181 150.10188 1.6663144 1.8183 10.53 12.115
19206 150.04179 1.6662939 2.1352 10.55 123.384
19207 150.35431 1.666944 2.1018 10.92 135.728
19237 150.33034 1.6669918 1.9911 10.76 1.86
19240 150.34125 1.66714 2.0257 10.38 19.748
19247 150.31497 1.6661122 2.1961 10.86 1.122
19280 150.2652 1.6666698 1.8977 10.82 227.915
19346 150.23369 1.6684974 2.013 10.08 1.68
19380 150.00545 1.6687479 2.1478 10.79 21.313
19384 150.11861 1.6693602 2.0492 10.01 0.388
19458 150.1819 1.6692386 1.8195 10.35 450.584
19502 150.11714 1.6709718 2.1508 10.38 1.02
19508 150.36842 1.6713876 1.8356 10.03 2.261
19540 150.36987 1.6706729 2.03 10.81 137.587
19559 149.98537 1.6713542 1.8183 10.64 100.892
19599 150.02164 1.671978 2.1426 10.82 5.962
19806 150.14885 1.6754514 1.9696 10.63 16.45
19842 150.14922 1.6758163 2.0691 10.05 10.106
19952 150.31996 1.6773312 1.9801 10.42 58.378
19991 150.01813 1.6757746 1.8062 10.09 56.655
20021 150.26991 1.6781626 1.9441 10.06 35.826
20056 150.30261 1.67884 2.1372 10.57 48.549
20099 150.3472 1.6787101 2.0954 10.28 79.609
20159 149.9388 1.6792583 2.1942 10.69 31.902
20240 150.29216 1.6809735 2.0913 10.69 99.075
20272 150.14445 1.6811584 2.009 10.22 62.218
20545 150.231 1.6852452 2.028 10.19 1.436
20556 150.08536 1.6847088 1.8494 10.45 77.666
20573 150.01241 1.6852053 1.8807 10.38 86.694
20665 150.14827 1.6866206 1.8006 10.35 1.832
20686 150.21622 1.6869868 2.0453 10.29 1.818
20784 150.21056 1.6888115 1.9668 10.25 12.435
20803 149.91415 1.6882254 1.8613 10.65 0.548
20836 150.15125 1.6881979 1.8445 10.37 61.035
20855 150.13966 1.6892835 1.8184 10.08 0.478
20865 150.25711 1.6887504 1.8889 10.11 50.677
20928 150.03534 1.6904187 2.0717 10.53 2.36
20941 150.24736 1.6905626 2.1332 10.28 29.203
21017 150.33859 1.6917408 2.093 10.26 16.167
21077 150.36926 1.6921062 2.1687 10.14 52.44
21160 150.3228 1.6931854 2.068 10.22 8.177
21161 150.32233 1.6932832 2.1866 10.38 203.102
21162 150.21371 1.6939982 2.0253 10.14 33.662
21177 150.21429 1.6941864 1.9284 10.61 69.606
21178 150.35016 1.6933675 2.0002 10.83 113.422
21207 150.24583 1.694189 1.9228 10.67 1.018
21242 150.35622 1.6949801 1.9028 10.05 48.653
21250 149.93134 1.6944406 2.1174 10.74 157.263
21280 150.35805 1.6952162 2.1696 10.36 127.978
21287 150.09921 1.6952617 1.8792 10.09 43.449
21325 150.10402 1.696081 1.9842 10.06 41.278
21497 150.26811 1.6989151 1.8594 10.42 107.551
21504 150.03355 1.699012 1.817 10.39 95.2
21525 150.0331 1.6995713 1.8599 10.15 61.312
21574 150.22824 1.6998791 1.9041 10.02 7.12
21588 150.10136 1.6994672 1.9253 10.79 15.406
21615 150.11124 1.7004697 1.9135 10.53 34.884
21629 150.2103 1.7008494 1.9746 10.23 56.521
21655 150.26932 1.7014472 2.191 10.43 137.607
21679 149.99475 1.7010381 1.9762 10.57 95.849
21774 149.99461 1.7018352 1.9268 11.13 274.109
21794 150.30502 1.7032473 1.8355 10.44 0.223
21806 149.94611 1.7030139 1.8021 10.25 93.063
21899 150.06622 1.7052512 2.0008 10.48 1.711
21904 150.32697 1.7049133 1.9499 10.24 65.43
21973 150.22478 1.7064338 2.1422 10.55 47.762
22020 150.20781 1.7067116 1.8874 10.09 31.143
22065 150.13937 1.7070729 1.95 10.04 8.223
22159 150.32545 1.7077304 1.912 10.9 3.191
22194 150.17966 1.7090281 1.8706 10.19 64.766
22234 150.08292 1.7099596 1.8897 10.03 42.437
22245 150.17976 1.7099056 1.8221 10.75 0.973
22283 150.21591 1.7097909 1.8054 10.77 67.777
22379 150.15932 1.7117661 1.9925 10.59 0.57
22404 149.92212 1.7125022 1.9185 10.31 17.563
22482 150.35757 1.7130685 2.097 10.01 75.132
22487 150.34549 1.713136 1.8037 10.41 0.43
22504 150.06625 1.7130052 1.8967 10.3 73.863
22554 150.26965 1.7141532 1.8236 10.74 60.917
22608 149.9684 1.7149163 1.8348 10.42 1.982
22617 150.16592 1.7145919 1.9266 10.19 21.538
22705 150.35211 1.7160392 1.8199 10.61 69.961
22792 150.01755 1.7156717 1.8288 11.01 115.782
22847 150.29678 1.718158 2.1481 10.69 4.492
22864 150.07161 1.7180829 1.8155 10.18 46.851
23054 150.03362 1.7202989 2.1592 11.07 244.092
23058 149.95663 1.7209153 2.1377 10.6 91.962
23088 150.03252 1.7202162 1.8233 10.66 2.9
23116 150.07031 1.7214462 1.874 10.81 81.269
23159 150.02042 1.7224308 1.8584 10.69 38.597
23167 150.19189 1.7224138 1.9811 10.29 196.551
23233 150.13348 1.7232271 2.0365 10.47 47.391
23246 150.1911 1.7230206 1.8225 10.28 84.228
23250 150.29208 1.7216045 2.0097 10.31 56.796
23264 150.09093 1.7236019 1.9431 10.18 37.405
23274 150.36703 1.7232584 1.8555 10.64 54.729
23334 150.03172 1.7246889 1.8842 10.27 0.35
23414 150.19934 1.7252092 1.9124 10.37 87.058
23437 150.18546 1.7255636 1.9036 10.39 73.114
23441 150.19391 1.7250961 1.8812 10.26 168.007
23475 150.22627 1.7264888 1.8733 10.34 1.608
23497 150.04103 1.7263281 1.9439 10.13 16.032
23599 150.01971 1.7272866 1.9017 10.01 34.922
23604 150.21935 1.7266051 1.9202 10.89 46.721
23669 150.21257 1.7282202 1.8304 11.02 52.096
23673 150.1422 1.7296065 1.962 10.12 58.395
23696 150.31688 1.7293926 2.0091 10.64 2.434
23813 150.1001 1.7313284 1.9142 10.41 69.96
23846 150.13831 1.7312129 1.8547 10.71 61.283
23897 150.29567 1.732661 2.1101 10.31 1.886
23938 150.12585 1.7335029 1.99 10.34 0.314
23964 149.98438 1.7337154 2.085 10.03 43.886
23976 150.08684 1.7334818 2.1633 10.15 29.886
24044 150.18004 1.73421 1.938 10.76 104.283
24142 150.35927 1.73577 1.8064 10.53 2.394
24220 150.10316 1.7367563 1.9361 10.73 98.384
24242 150.32825 1.7379961 1.9907 10.34 1.452
24318 150.26073 1.7385631 1.9822 10.78 134.017
24333 149.94833 1.7385969 1.8889 10.35 147.191
24334 150.28271 1.7391993 1.9829 10.8 97.153
24398 150.09695 1.7397419 1.8516 10.82 2.301
24462 150.30962 1.7400565 1.8246 10.16 46.06
24530 150.34885 1.741518 1.9769 10.44 75.804
24569 150.32703 1.7422947 1.9215 10.25 2.201
24591 150.32674 1.7425328 1.9864 10.01 25.068
24598 150.34186 1.7416947 1.9428 10.26 57.11
24631 150.17458 1.7430294 1.8378 10.76 41.328
24678 150.16808 1.7433807 2.1942 10.96 2.171
24681 149.9343 1.7434994 2.1897 10.65 3.719
24700 150.10823 1.7438557 1.9779 10.07 76.989
24743 150.25841 1.7448553 1.8366 10.62 12.85
24843 150.09889 1.7462727 2.1711 10.42 57.402
24907 150.33159 1.7472582 1.9799 10.89 260.867
24962 150.00546 1.7483681 2.0194 10.67 0.967
24993 150.15662 1.7486655 1.873 10.93 98.631
25082 150.32088 1.749348 1.9317 10.62 194.803
25086 150.09396 1.7497607 1.9529 10.13 9.575
25101 150.14546 1.7504739 1.933 10.63 43.552
25135 150.09695 1.7505955 2.1208 10.86 97.206
25141 150.1008 1.7509524 2.077 10.43 56.117
25235 150.27586 1.7517534 2.1456 10.64 214.73
25295 150.26248 1.7514645 1.9201 10.25 127.105
25350 149.96294 1.7536517 1.8065 10.2 42.771
25358 150.07382 1.7532195 1.8185 10.8 1.672
25363 150.21329 1.7538387 2.1619 10.64 141.834
25444 150.23038 1.754434 1.9042 10.84 10.81
25484 150.11665 1.7554725 1.8043 10.43 25.492
25532 150.24664 1.7562009 1.8147 10.37 62.502
25573 150.30272 1.7566603 1.8368 10.53 0.778
25630 150.09297 1.7575928 1.8229 10.19 24.582
25675 150.26131 1.7581403 2.1531 10.06 6.756
25688 150.06755 1.7569127 1.8163 10.67 7.719
25733 150.23395 1.7581981 1.8173 10.28 2.731
25746 149.97897 1.7588056 1.857 10.71 19.25
25801 150.27908 1.759431 1.9273 10.56 29.116
25824 150.20811 1.7602024 1.8429 10.55 0.534
25881 150.08307 1.7603643 2.0182 10.6 5.783
25957 149.96352 1.7615372 2.0167 10.26 38.389
25988 150.2571 1.7625437 1.8406 10.18 66.385
